"HALTESTELLEN_ID";"TYP";"DIVA";"NAME";"GEMEINDE";"GEMEINDE_ID";"WGS84_LAT";"WGS84_LON";"STAND"
214463954;"stop";60205006;"Trasdorf Bahnhof";"Trasdorf";32104;48.3152861259338;15.8795290315595;""
214463961;"stop";60205013;"Trautmannsdorf/Leitha Bf";"Trautmannsdf/Leitha";30726;48.0242136308602;16.6422004262154;""
214463970;"stop";60205022;"Tribuswinkel-Josefsthal Bf";"Tribuswinkel";30639;48.0077842323698;16.2697356122128;""
214463982;"stop";60205034;"Tulln Bahnhof";"Tulln";32135;48.327291816935;16.0640554751459;""
214464005;"stop";60205057;"Tulln Stadt Bahnhof";"Tulln";32135;48.3284366943887;16.0540022765092;""
214464016;"stop";60205068;"Tullnerbach-Pressbaum Bahnhof";"Tullnerbach";32421;48.1861489299041;16.0943231763567;""
214464018;"stop";60205070;"Ulrichskirchen Bahnhof";"Ulrichskirchen";31651;48.4024150924473;16.4885541962805;""
214464020;"stop";60205072;"Untereggendorf Bahnhof";"Untereggendorf";32305;47.8611250797385;16.3217368458354;""
214464028;"stop";60205080;"Unteroberndorf Bahnhof";"Unteroberndorf (NÖ)";31921;48.1821366224186;15.9572568384093;""
214464042;"stop";60205094;"Untertullnerbach Bahnhof";"Untertullnerbach";32421;48.1908269733719;16.1272265221581;""
214464079;"stop";60205132;"Vösendorf-SCS";"Vösendorf";31723;48.1112712514107;16.3154762514924;""
214464080;"stop";60205133;"Vösendorf-Siebenhirten";"Vösendorf";31723;48.1255173194636;16.3190302382143;""
214464094;"stop";60205147;"Wampersdorf Bahnhof";"Wampersdorf";30626;47.9304570965655;16.416892053332;""
214464131;"stop";60205184;"Weigelsdorf Bahnhof";"Weigelsdorf";30607;47.9514417944497;16.4132029712836;""
214464147;"stop";60205200;"Wr Neudorf Griesfeld";"Wiener Neudorf";31725;48.0778782673308;16.3128860630989;""
214464148;"stop";60205201;"Wr Neudorf Bahnhof";"Wiener Neudorf";31725;48.0870068158905;16.3140497321563;""
214464157;"stop";60205210;"Wr Neustadt Hauptbahnhof";"Wiener Neustadt";30401;47.8116057625811;16.2341635785245;""
214464170;"stop";60205223;"Wr Neustadt Nord";"Wiener Neustadt";30401;47.835146682426;16.2388594455324;""
214464174;"stop";60205227;"Wr Neustadt Civitas Nova";"Wiener Neustadt";30401;47.833693853243;16.2558794109996;""
214464182;"stop";60205235;"Wildungsmauer Bahnhof";"Wildungsmauer";30722;48.1080410137093;16.8028706182223;""
214464186;"stop";60205239;"Wilfleinsdorf Bahnhof";"Wilfleinsdorf";30704;48.0218922884891;16.720369931999;""
214464218;"stop";60205271;"Wolfsthal Bahnhof";"Wolfsthal";30728;48.1358450802276;17.0055431546506;""
214464221;"stop";60205274;"Wolkersdorf Bahnhof";"Wolkersdorf/Weinvtl";31655;48.3784232173381;16.5128081804637;""
214464248;"stop";60205301;"Zeiselmauer-Königstetten Bf";"Zeiselmauer";32140;48.326610258044;16.174883461204;""
214464250;"stop";60205303;"Zellerndorf Bahnhof";"Zellerndorf";31052;48.6961045168047;15.9676379548235;""
214464618;"stop";60205671;"Schwechat B10/Hauptplatz";"Schwechat";32419;48.1408461241321;16.4775931357654;""
214464705;"stop";60205759;"Tullnerfeld Bahnhof";"Tullnerfeld";32120;48.2954111551031;15.9963529330854;""
214464749;"stop";60205809;"Melkergründe";"Leesdorf";30604;48.0029113641071;16.2580294225017;""
214464849;"stop";60205921;"Schwechat Plankenwehrstraße";"Schwechat";32419;48.1419649742055;16.47457285753;""
214465216;"stop";60207370;"St Pölten Traisenpark P+R Nord";"St Pölten";30201;48.220997009119;15.6414641272297;""
214465405;"stop";60208002;"Getzersdorf/Traisen Bahnhof";"Getzersdorf/Traisen";31913;48.3237342747596;15.7151944971254;""
214465406;"stop";60208003;"Herzogenburg Bahnhof";"Herzogenburg";31912;48.2758944855155;15.6961857046829;""
214465407;"stop";60208004;"Herzogenburg Stadt";"Herzogenburg";31912;48.2836221083734;15.6998754631363;""
214465411;"stop";60208008;"Oberradlberg Bahnhof";"Oberradlberg";30201;48.2407112387451;15.670519801823;""
214465414;"stop";60208011;"Unterradlberg Bahnhof";"Unterradlberg";30201;48.2547861730242;15.6863356363364;""
214465415;"stop";60208012;"Viehofen Bahnhof";"Viehofen";30201;48.2311020427412;15.6529034358658;""
214465502;"stop";60208114;"Wimmergasse 3";"Wien";90000;48.1838162371249;16.3600061790895;""
214466266;"stop";60214198;"Secession";"Wien";90000;48.2003118248137;16.3663442433548;""
214466267;"stop";60214199;"Rathaus/Universität";"Wien";90000;48.2121932172026;16.3606999299556;""
214483330;"stop";60200919;"Chrastekgasse";"Wien";90000;48.2077610151223;16.4285479489273;""
